time="2023-09-30T17:39:08+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:39:09+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,65"
time="2023-09-30T17:39:39+07:00" level=info msg="postgres started" func="main.main()" file="main.go,30"
time="2023-09-30T17:39:39+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,36"
time="2023-09-30T17:39:39+07:00" level=info msg="start parsing" func="main.main()" file="main.go,38"
time="2023-09-30T17:39:39+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,65"
time="2023-09-30T17:39:49+07:00" level=info msg=tick-tick func="main.main.func1()" file="main.go,53"
time="2023-09-30T17:39:59+07:00" level=info msg=tick-tick func="main.main.func1()" file="main.go,53"
time="2023-09-30T21:14:09+07:00" level=info msg="postgres started" func="main.main()" file="main.go,33"
time="2023-09-30T21:14:09+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,39"
time="2023-09-30T21:14:09+07:00" level=info msg="start parsing" func="main.main()" file="main.go,41"
time="2023-09-30T21:14:09+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,68"
time="2023-09-30T21:35:04+07:00" level=info msg="postgres started" func="main.main()" file="main.go,33"
time="2023-09-30T21:35:04+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,39"
time="2023-09-30T21:35:04+07:00" level=info msg="start parsing" func="main.main()" file="main.go,41"
time="2023-09-30T21:35:05+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,68"
time="2023-09-30T23:42:05+07:00" level=info msg="postgres started" func="main.main()" file="main.go,33"
time="2023-09-30T23:42:05+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,39"
time="2023-09-30T23:42:05+07:00" level=info msg="start parsing" func="main.main()" file="main.go,41"
time="2023-09-30T23:42:05+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,68"
time="2023-10-01T01:34:24+07:00" level=info msg="postgres started" func="main.main()" file="main.go,34"
time="2023-10-01T01:34:24+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,40"
time="2023-10-01T01:34:24+07:00" level=info msg="start parsing" func="main.main()" file="main.go,42"
time="2023-10-01T01:34:25+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,69"
time="2023-10-01T02:25:17+07:00" level=info msg="postgres started" func="main.main()" file="main.go,34"
time="2023-10-01T02:25:17+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,40"
time="2023-10-01T02:25:17+07:00" level=info msg="start parsing" func="main.main()" file="main.go,42"
time="2023-10-01T02:25:47+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,69"
time="2023-10-01T13:28:45+07:00" level=info msg="redis pinged EEE" func="github.com/ArturKKK/CurrencyTransfer/internal/cache/redis.GetClient.func1()" file="redis-cache.go,37"
time="2023-10-01T13:28:45+07:00" level=info msg="Postgres open EEE" func="github.com/ArturKKK/CurrencyTransfer/internal/db.NewDatabase.func1()" file="db.go,34"
time="2023-10-01T13:28:45+07:00" level=info msg="postgres ping EEE" func="github.com/ArturKKK/CurrencyTransfer/internal/db.NewDatabase.func2()" file="db.go,43"
time="2023-10-01T13:28:45+07:00" level=info msg="postgres started" func="main.main()" file="main.go,34"
time="2023-10-01T13:28:45+07:00" level=info msg="postgres initialized" func="main.main()" file="main.go,40"
time="2023-10-01T13:28:45+07:00" level=info msg="start parsing" func="main.main()" file="main.go,42"
time="2023-10-01T13:28:45+07:00" level=info msg="service started" func="main.main.func2()" file="main.go,69"
